COMPONENT;KEY;EN;NL
DEF;SWOT Analyse;SWOT Analyse;SWOT Analyse
DEF;Strengths;Strengths;Sterkten
DEF;Weaknesses;Weaknesses;Zwakten
DEF;Opportunities;Opportunities;Kansen
DEF;Threats;Threats;Bedreigingen
DEF;Risk profile;Risk profile;Risico profiel
DEF;Please give a description of the organisation's risk profile;Please give a description of the organisation's risk profile;Geef een omschrijving van het risico profiel
DEF;Organisation structure;Organisation structure;Organisatie structuur
DEF;Please give a description of the legal structure;Please give a description of the legal structure;Geef een omschrijving van de juridische structuur
DEF;Please give a description of the stakeholders;Please give a description of the stakeholders;Geef een omschrijving van de aandeelhouders
DEF;Employees;Employees;Personeel
DEF;How many FTE employees does the organisation have?;How many FTE employees does the organisation have?;Geef het aantal FTE op
DEF;Please give a description of the age structure of the employees;Please give a description of the age structure of the employees;Geef een omschrijving van de leeftijdsopbouw van het personeel
DEF;Please give a description of the level of education of the employees;Please give a description of the level of education of the employees;Geef een omschrijving van het opleidingsniveau van het personeel
DEF;Management;Management;Management
DEF;Please give a description of the composition of the management;Please give a description of the composition of the management;Geef een omschrijving van de samenstelling van het management
DEF;Please give a description of the quality of the management;Please give a description of the quality of the management;Geef een omschrijving van de kwaliteit van het management
DEF;Please give a description how the management is supported;Please give a description how the management is supported;Geef een omschrijving van hoe het management wordt ondersteund.
DEF;Please give a description of the member(s) of the board;Please give a description of the member(s) of the board;Geef een omschrijving van de bestuurder(s) van de onderneming
DEF;Board member;Board member;Bestuurder
DEF;Number of years of service;Number of years of service;Aantal jaren in dienst
DEF;Education;Education;Educatie
DEF;Track record;Track record;Ervaring
DEF;Sustainability;Sustainability;Duurzaamheid
DEF;Please give a description of the sustainability in the organisation;Please give a description of the sustainability in the organisation;Geef een omschrijving van de duurzaamheid binnen de onderneming
DEF;Financing need;Financing need;Financierings­behoefte
DEF;Financing target(s);Financing target(s);Wat wilt u financieren?
DEF;Total investment;Total investment;Wat is de totale investering?
DEF;Total financing need;Total financing need;Totale financieringsbehoefte
DEF;Financing part using own resources;Financing part using own resources;Hoeveel daarvan vult u in met eigen middelen?
DEF;Financing part using third parties;Financing part using third parties;In te vullen met financiering bij derden
DEF;Financing request;Financing request;Gevraagde financiering
DEF;Product details;Product details;Gevraagd financieringsproduct
DEF;Product;Product;Product
DEF;Description;Description;Toelichting
DEF;Existing loans;Existing loans;Bestaande leningen
DEF;Existing loan;Existing loan;Bestaande lening
DEF;Please give a description of the existing loan;Please give a description of the existing loan;Geef een omschrijving van de bestaande lening
DEF;Funding organisation;Funding organisation;Verstrekker
DEF;Amount;Amount;Bedrag
DEF;Date of closing;Date of closing;Afsluitdatum
DEF;Duration in months;Duration in months;Looptijd in maanden
DEF;Rate of interest;Rate of interest;Rentepercentage
DEF;Financial position;Financial position;Financiële positie
DEF;Income Statement;Income Statement;Winst- en verliesrekening
DEF;Specification accounts receivables;Specification accounts receivables;Specificaties debiteuren
DEF;Total count of accounts receivables;Total count of accounts receivables in last period;Totaalsaldo debiteuren laatste periode
DEF;Average of accounts receivables (per debtor);Average of accounts receivables (per debtor);Gemiddeld debiteurensaldo (per debiteur)
DEF;Accounts reveivable of the biggest debtors;Accounts reveivable of the biggest debtors;Saldo en naam van de grootste debiteuren
DEF;Are the accounts receivables insured?;Are the accounts receivables insured?;Zijn de debiteuren verzekerd?
DEF;New collateral;New collateral;Nieuwe zekerheid
DEF;Select a collateral;Select a collateral;Selecteer een zekerheid
DEF;Specify the collateral type;Specify the collateral type;Geef een omschrijving van het type zekerheid
DEF;CountryCode;CountryCode;Landcode
DEF;Market value;Market value;Marktwaarde
DEF;Source market value (valuation/ financial statements/WOZ);Source market value (valuation/ financial statements/WOZ);Bron marktwaarde (taxatie / jaarrekening / WOZ)
DEF;Valuer;Valuer;Taxateur
DEF;Valuer reference number;Valuer reference number;Referentienummer taxateur
DEF;Guarantee value;Guarantee value;Garantiewaarde
DEF;Construction date;Construction date;Bouwdatum
DEF;Registration amount;Registration amount;Bedrag van inschrijving
DEF;In this stage of the financing application you will give some insights and basic information of the organisation.;In this stage of the financing application you will give some insights and basic information of the organisation.;In dit onderdeel van de financieringsaanvraag geeft u informatie over basisgegevens van de onderneming.
DEF;In this stage of the financing application you will give information about the applicant, the organisation which is applying for funding and yourself.;In this stage of the financing application you will give information about the applicant, the organisation which is applying for funding and yourself.;In dit onderdeel van de financeringsaanvraag geeft u informatie over de aanvrager, de onderneming en de tussenpersoon.
DEF;In this stage of the financing application you will give insight of the organisation. You will focus on the nature of the undertaking business, the mission, vision, strategy, the products and services of the organisation and which markets the organisation serves. You will also give insights of the organisational structure, opportunities, threats, strengths and weaknesses of the organisation.;In this stage of the financing application you will give insight of the organisation. You will focus on the nature of the undertaking business, the mission, vision, strategy, the products and services of the organisation and which markets the organisation serves. You will also give insights of the organisational structure, opportunities, threats, strengths and weaknesses of the organisation.;In dit onderdeel van de financieringsaanvraag geeft u inzicht in de onderneming. U gaat hierbij in op de aard van de onderneming, de missie en strategie, de producten en diensten die zij levert en welke markten er worden bediend. Daarnaast geeft u inzicht in de organisatiestructuur, kansen, bedreigingen en sterke en zwakke punten van de onderneming.
DEF;Inventory and machines;Inventory and machines;Inventaris en machines
DEF;Stock;Stock;Voorraad
DEF;Transport equipment;Transport equipment;Transportmiddelen
DEF;Real estate;Real estate;Onroerend goed
DEF;Corporate takeover;Corporate takeover;Bedrijfsovername
DEF;Research and development;Research and development;Innovatie en ontwikkeling
DEF;Growth and expansion;Growth and expansion;Groei en uitbreiding
DEF;Debtors;Debtors;Debiteuren
DEF;Refinancing;Refinancing;Herfinanciering
DEF;Financial;Financieel;Financiële gegevens
DEF;Funding options;Funding options;Financierings­opties
DEF;Details of the organisation;Details of the organisation;Gegevens van de onderneming
DEF;Details used for Fyndoo;Details used for Fyndoo;Gegevens benodigd voor Fyndoo
DEF;Investment and financing plan;Investment and financing plan;Investerings- en financieringsplan
DEF;1:Research and development|2:Growth and expansion|3:International Expansion|4:Debtors|5:Stock|6:Inventory and machines|7:Transport|8:Real estate for own use|9:Commercial real estate|10:Start-up|11:Corporate takeover|12:Refinancing|13:Goodwill;1:Research and development|2:Growth and expansion|3:International Expansion|4:Debtors|5:Stock|6:Inventory and machines|7:Transport|8:Real estate for own use|9:Commercial real estate|10:Start-up|11:Corporate takeover|12:Refinancing|13:Goodwill;1:Onderzoek en ontwikkeling|2:Groei en uitbreiding|3:Internationalisering|4:Debiteuren|5:Voorraad|6:Inventaris en machines|7:Transportmiddelen|8:Bedrijfspand eigen onderneming|9:Vastgoed voor verhuur|10:Starten onderneming|11:Bedrijfsovername|12:Herfinanciering|13:Goodwill
DEF;0:No|1:Yes;0:No|1:Yes;0:Nee|1:Ja
DEF;0:Inactive|1:Active;0:Inactive|1:Active;0:Inactief|1:Actief
DEF;Monthly;Monthly;Maandelijks
DEF;OneTime;OneTime;Eenmalig
DEF;1:OneTimeRepayment|2:Linear|3:Annuity|4:Manual;1:OneTimeRepayment|2:Linear|3:Annuity|4:Manual;1:Eenmalige terugbetaling|2:Lineair|3:Annuïtair|4:Handmatige aflosschema
DEF;Documents;Documents;Documenten
DEF;0:High|1:Average|2:Low;0:High|1:Average|2:Low;0:Hoog|1:Gemiddeld|2:Laag
DEF;0:Strong|1:Average|2:Weak;0:Strong|1:Average|2:Weak;0:Sterk|1:Gemiddeld|2:Zwak
DEF;0:Dependent|1:Reasonable|2:Barely|3:Not dependent;0:Dependent|1:Reasonable dependent|2:Barely dependent|3:Not dependent;0:Afhankelijk|1:Redelijk afhankelijk|2:Nauwelijks afhankelijk|3:Niet afhankelijk
DEF;1:Borrower|2:UnilateralLiable;1:Borrower|2:UnilateralLiable;1:Kredietnemer|2:Eenzijdig aansprakelijk
DEF;fixed assets;fixed assets;vaste activa
DEF;investments in;investments in;investeringen in
DEF;other;other;overige
DEF;loans to subsidiaries;loans to subsidiaries;U.G. deelnemingen
DEF;loans to affiliated companies;loans to affiliated companies;U.G. gelieerde partijen
DEF;mutation;mutation;mutatie
DEF;mutation in;mutation in;mutatie in
DEF;mutations in;mutations in;mutaties in
DEF;repayments on;repayments on;aflossing
DEF;accounts payable investments;accounts payable investments;investeringscrediteuren
DEF;divestment receivables;divestment receivables;desinvesteringen
DEF;acquired goodwill;acquired goodwill;aangekochte goodwill
DEF;net working capital (incl. operational cash);net working capital (incl. operational cash);werkkapitaal (incl. op. liqmid.)
DEF;trade payables;trade payables;handelscrediteuren
DEF;accounts payable;accounts payable;kostencrediteuren
DEF;trade receivables;trade receivables;handelsdebiteuren
DEF;operational cash;operational cash;operationele liquiditeiten
DEF;total investments;total investments;totaal investeringen
DEF;payments to shareholders;payments to shareholders;betalingen aan eigen vermogenverschaffers
DEF;profit paid out to claimants;profit paid out to claimants;winstuitkering
DEF;personal drawdown of partners;personal drawdown of partners;onttrekkingen partners
DEF;adjustments in foreign exchange and currencies;adjustments in foreign exchange and currencies;wisselkoersverschillen
DEF;changes outside result;changes outside result;mutaties buiten resultaat
DEF;category;category;categorie
DEF;mutation dividend payable;mutation dividend payable;te betalen dividend
DEF;payments to debt holders;payments to debt holders;betalingen aan vreemdvermogenverschaffers
DEF;net financial expenses;net financial expenses;netto rentelasten
DEF;total cash expenses;total cash expenses;totaal cash uitgaven
DEF;cashflow from exploitation;cashflow from exploitation;financiering met interne cashflow
DEF;net operating profit;net operating profit;netto bedrijfsresultaat
DEF;provision for retirement expenses partners;provision for retirement expenses partners;voorziening oudedagsreserve
DEF;fictitious expenses;fictitious expenses;fictieve kosten
DEF;fictitious tax on profits;fictitious tax on profits;fictieve winstbelasting
DEF;cashflow from operational activities;cashflow from operational activities;cashflow uit operationele activiteiten
DEF;net extraordinary expenses;net extraordinary expenses;netto buitengewone lasten
DEF;marketable securities;marketable securities;effecten
DEF;choices|legal|form;Naamloze vennootschap|Besloten vennootschap|Coöperatie|Stichting|Vereniging|Eenmanszaak|VOF;Naamloze vennootschap|Besloten vennootschap|Coöperatie|Stichting|Vereniging|Eenmanszaak|VOF
DEF;0:Male|1:Female;0:Male|1:Female;0:Man|1:Vrouw
DEF;Explanation;Explanation;Toelichting
DEF;0:Guarantee|1:Registry property|2:Non registry property;0:Guarantee|1:Registry property|2:Non registry property;0:Garantie|1:Registergoed|2:Niet registergoed
DEF;0:Family house|1:Family house with garage|2:Flat / Apartment|3:Flat / Apartment with garage|4:Store-house|5:House with commercial space|6:Shop|7:Office|8:Holiday Home|9:Farm|10:Business collateral|11:Agricultural land / plot|12:Garage|13:Building site|14:Houseboat|99:Other;0:Family house|1:Family house with garage|2:Flat / Apartment|3:Flat / Apartment with garage|4:Store-house|5:House with commercial space|6:Shop|7:Office|8:Holiday Home|9:Farm|10:Business collateral|11:Agricultural land / plot|12:Garage|13:Building site|14:Houseboat|99:Other;0:Eengezinswoning|1:Eengezinswoning met garage|2:Flat / Appartement|3:Flat / Appartement met garage|4:Winkel met woonhuis|5:Woning met bedrijfsruimte|6:Winkel|7:Bedrijfspand|8:Recreatiewoning|9:Boerderij|10:Zakelijk onderpand|11:Agrarische bouwgrond|12:Garage|13:Bouwkavel|14:Woonschip|99:Anders
DEF;0:Other|528:Netherlands;0:Other|528:The Netherlands;0:Overig|528:Nederland
DEF;0:Other|528:Dutch;0:Other|528:Dutch;0:Overig|528:Nederlandse
DEF;LandRegistry;Land Registry;Kadastrale gegevens
DEF;Unit;Unit;Eenheid
DEF;Size;Size;Afmetingen
DEF;Section;Section;Sectie
DEF;Part number;Part number;Deelnummer
DEF;Municipality;Municipality;Kadastrale gemeente
DEF;Collateral provider;Collateral provider;Verstrekker van de zekerheid
DEF;Source market value;Source market value;Bron van de marktwaarde
DEF;Source market value hint;Example: valuation, financial statements, propery tax;Voorbeeld: Taxatie, Boekwaarde, of WOZ
DEF;Calculation;Verification;Controle berekening
DEF;COC;Chamber of commerce excerpt;KvK-uittreksel
DEF;OrgChart;Organization chart;Organigram
DEF;Signatures;Signatures;Handtekeningenkaart
DEF;http://www.fyndoo.com/wp-content/uploads/2016/07/Signatures.pdf Download the template from www.fyndoo.com;http://www.fyndoo.com/wp-content/uploads/2016/07/Signatures.pdf Download the template from www.fyndoo.com;http://www.fyndoo.com/wp-content/uploads/2016/07/Signatures.pdf U kunt een sjabloon downloaden van www.fyndoo.com
DEF;http://www.fyndoo.com/wp-content/uploads/2016/07/UBODeclaration.pdf Download the template from www.fyndoo.com;http://www.fyndoo.com/wp-content/uploads/2016/07/UBODeclaration.pdf Download the template from www.fyndoo.com;http://www.fyndoo.com/wp-content/uploads/2016/07/UBODeclaration.pdf U kunt een sjabloon downloaden van www.fyndoo.com
DEF;Passport;Passport;Kopie paspoort
DEF;ShareRegister;Shareholders registry;Aandeelhoudersregister
DEF;AnnualStatement;Annual statement;Jaarverslag
DEF;MemorandumOfAssociation;Memorandum of association;Akte van oprichting
DEF;GeneralTermsAndConditions;General terms and conditions;Algemene voorwaarden
DEF;BankAccounts;Bank statements;Kopie bankafschrift
DEF;UBODeclaration;UBO declaration;UBO verklaring
DEF;AdditionalCertification;Additional certification;Bijkomende verklaringen
DEF;CertificateOfGoodConduct;Certificate of good conduct;Verklaring Omtrent Gedrag
DEF;GAccount;G Account (when applicable);G-rekening (indien van toepassing)
DEF;InvoiceExample;Invoice example;Voorbeeldfactuur
DEF;Logo;Logo;Logo
DEF;RealEstatePurchaseAgreement;Real estate purchase agreement;Koopovereenkomst vastgoed
DEF;RealEstateRentalAgreement;Real estate rental agreement;Verhuurovereenkomst(en) vastgoed
DEF;0:m2|1:ha;0:m2|1:ha;0:m2|1:ha
DEF;Specification Lease;Specification Lease;Specificatie Lease
DEF;Financing requirement;Financing requirement;Benodigde financiering
DEF;Specification Lease object;Specification Lease object;Specificatie Lease object
DEF;Lease object;Lease object;Lease object
DEF;Description of the lease object;Description of the lease object;Geef een omschrijving van het lease object
DEF;Marketability of the property;Marketability of the property;Hoe courant is het object?
DEF;Duration in months;Duration in months;Looptijd in maanden
DEF;Depreciation object per month;Depreciation object per month;Afschrijving van het object per maand
DEF;Final instalment;Final instalment;Slottermijn
DEF;Deposit;Deposit;Aanbetaling
DEF;0:Low|1:Average|2:High;0:Low|1:Average|2:High;0:Laag|1:Gemiddeld|2:Hoog
DEF;Specification commercial real estate;Specification commercial real estate;Specificatie commercieel vastgoed
DEF;Specification property;Specification property;Specificatie van het object
DEF;Existing or new property?;Existing or new property?;Betreft het een bestaand of nieuw object?
DEF;Description of the property;Description of the property;Geef een omschrijving van het object
DEF;WOZ value of the property;WOZ value of the property;Wat is de WOZ-waarde van het object?
DEF;Amount of the rental income per year;Amount of the rental income per year;Wat zijn de huuropbrengsten per jaar?
DEF;Number of rental contracts;Number of rental contracts;Wat is het aantal huurcontracten?
DEF;Amount of maintenance costs per year;Amount of maintenance costs per year;Wat zijn de onderhoudskosten per jaar?
DEF;0:New|1:Existing;0:New|1:Existing;0:Nieuw|1:Bestaand
DEF;Total number of accounts receivables;Total number of accounts receivables;Totaal aantal debiteuren
DEF;Financials;Financials;Financiële gegevens
DEF;Turnover in the last 12 months;Turnover in the last 12 months;Omzet laatste 12 maanden
DEF;EBIT in the last 12 months;EBIT in the last 12 months;EBIT laatste 12 maanden
DEF;Number of accounts recievables;Number of accounts recievables;Aantal debiteuren
DEF;Share of foreign debtors in percentages;Share of foreign debtors in percentages;Aandeel buitenlandse debiteuren in procenten
DEF;Average amount of accounts receivables;Average amount of accounts receivables;Gemiddelde debiteurenstand
DEF;Average value per invoice;Average value per invoice;Gemiddelde waarde per factuur
DEF;Maximum advances of invoices in percentages;Maximum advances of invoices in percentages;Hoeveel procent bevoorschotting wenst u te ontvangen?
DEF;Maximum advances in days;Maximum advances in days;Maximale bevoorschotting in dagen
DEF;Was there a positive cash flow the last two years?;Was there a positive cash flow the last two years?;Was er een positieve cashflow in de laatste twee jaren?
DEF;Is there an existing pledge with recourse?;Is there an existing pledge with recourse?;Is er sprake van een bestaande verpanding met recourse?
DEF;Are there intercompany transactions?;Are there intercompany transactions?;Zijn er intercompany transacties?
DEF;Product request;Product request;Productaanvraag
DEF;Debtor;Debtor;Debiteur
DEF;Board member(s);Board member(s);Bestuurder(s)
DEF;Total investment;Total investment;Totale investering
DEF;Product type;Product type;Product type
DEF;Please fill in the 10 biggest debtors and the amount.;Please fill in the 10 biggest debtors and the amount.;Vul hier de naam en het bedrag in van de 10 grootste debiteuren.
DEF;Debtor;Debtor;Debiteur
DEF;Name debtor;Name debtor;Naam debiteur
DEF;Marketability of lease object;Marketability of lease object;Hoe courant is het lease-object?
DEF;excess cash last year;excess cash last year;saldo liquide middelen vorig jaar
DEF;capital shortfall last year;capital shortfall last year;vermogensbehoefte vorig jaar
DEF;financing plan;financing plan;financieringsplan
DEF;equity finance;equity finance;financiering met eigen vermogen
DEF;contribution of equity;contribution of equity;storting van kapitaal
DEF;bookvalue equity sold;bookvalue equity sold;boekwaarde verkochte aandelen
DEF;minority interests;minority interests;aandeel van derden
DEF;revaluation reserve;revaluation reserve;herwaarderingsreserve
DEF;debt finance;debt finance;financiering met vreemd vermogen
DEF;current account;current account;rekening courant
DEF;finance deficit;Finance deficit;Financieringstekort
DEF;investment plan;Investment plan;Investeringsplan
DEF;balance sheet;balance sheet;balans
DEF;FAMassets;assets;activa
DEF;immaterial fixed assets;immaterial fixed assets;immateriële vaste activa
DEF;FAMgoodwill;goodwill;goodwill
DEF;patents, trademarks and other rights;patents, trademarks and other rights;patenten, handelsmerken en andere rechten
DEF;material fixed assets;material fixed assets;materiële vaste activa
DEF;land and buildings;land and buildings;bedrijfsgebouwen en terreinen
DEF;plant and equipment;plant and equipment;machines en installaties
DEF;furniture and fixtures;furniture and fixtures;inventaris
DEF;transportation equipment;transportation equipment;voertuigen
DEF;financial fixed assets;financial fixed assets;financiële vaste activa
DEF;investments in subsidiaries;investments in subsidiaries;deelnemingen
DEF;subsidiaries;subsidiaries;deelnemingen
DEF;securities;securities;effecten
DEF;inventories;inventories;voorraden
DEF;projects in progress;projects in progress;onderhanden projecten
DEF;merchandise inventory;merchandise inventory;voorraad handelsgoederen
DEF;provision obsolete inventories;provision obsolete inventories;voorziening incourante voorraden
DEF;materials inventory;materials inventory;materiaal en grondstoffen
DEF;work in progress;work in progress;onderhanden werk
DEF;correction work in progress;correction work in progress;vooruitbetaald op onderhanden werk
DEF;finished products inventory;finished products inventory;voorraad gereed product
DEF;receivables;receivables;vorderingen
DEF;provision doubtful account receivable;provision doubtful account receivable;voorziening debiteuren
DEF;accounts receivable;accounts receivable;debiteuren
DEF;current account management;Current account management;R/C management/directie
DEF;receivables group companies;Receivables group companies;R/C groepsmaatschappijen
DEF;receivables affiliated companies;Receivables affiliated companies;R/C gelieerde partijen
DEF;tax on profits receivable;tax on profits receivable;te vorderen winstbelasting
DEF;VAT Receivable;VAT Receivable;te vorderen omzetbelasting
DEF;cost of sales advance payments;cost of sales advance payments;vooruitbetaald op inkopen
DEF;expenses advance payments;expenses advance payments;vooruitbetaalde kosten
DEF;divestments receivables;divestments receivables;nog te ontvangen wegens desinvesteringen
DEF;accrued product sales;accrued product sales;nog te factureren omzet
DEF;transitional assets;transitional assets;overlopende activa
DEF;cash and equivalents;cash and equivalents;liquide middelen
DEF;excess cash;excess cash;vrij besteedbare liquiditeiten
DEF;total assets;total assets;totaal activa
DEF;equity and liabilities;equity and liabilities;passiva
DEF;net worth;net worth;eigen vermogen
DEF;capital partners;capital partners;kapitaal partners
DEF;undistributed profit;undistributed profit;onverdeelde winst
DEF;shared capital;shared capital;gestort en geplaatst kapitaal
DEF;preference shares;preference shares;preferente aandelen
DEF;ordinary shares;ordinary shares;gestort en geplaatst kapitaal
DEF;treasury shares;treasury shares;ingekochte aandelen
DEF;share premium;share premium;agioreserve
DEF;statutory reserve;statutory reserve;wettelijke reserve
DEF;reserved profit;reserved profit;winstreserve
DEF;reserve;reserve;reserve
DEF;result of the current year;result of the current year;resultaat huidig boekjaar
DEF;provisions;provisions;voorzieningen
DEF;pension provisions;pension provisions;pensioenvoorziening
DEF;standing right;standing right;stamrecht
DEF;deferred taxes;deferred taxes;latente belastingverplichting
DEF;reorganisation provisions;reorganisation provisions;reorganisatievoorziening
DEF;non current liabilities;non current liabilities;langlopende schulden aan kredietinstellingen
DEF;long term debts;long term debts;langlopende schulden aan kredietinstellingen
DEF;long term debt;long term debt;langlopende schuld aan kredietinstelling
DEF;other long term debts;other long term debts;overige langlopende schulden
DEF;other long term debt;other long term debt;overige langlopende schuld
DEF;subordinated debts;subordinated debts;achtergestelde schulden
DEF;subordinated debt;subordinated debt;achtergestelde schuld
DEF;other long term debts annuity;other long term debts annuity;overige langlopende schulden (annuïteit)
DEF;other long term debt annuity;other long term debt annuity;overige langlopende schuld (annuïteit)
DEF;current liabilities;current liabilities;kortlopende schulden
DEF;short term part of long term debts;short term part of long term debts;aflossingen komend jaar
DEF;overdraft current account;overdraft current account;rekening courant (bank)
DEF;short term debt;short term debt;rentedragende schulden
DEF;expenses payables;expenses payables;kostencrediteuren
DEF;investments payables;investments payables;investeringscrediteuren
DEF;dividend payable;dividend payable;te betalen dividend
DEF;current account group companies;current account group companies;R/C groepsmaatschappijen
DEF;current account affiliated companies;current account affiliated companies;R/C gelieerde partijen
DEF;received prepayments;received prepayments;ontvangen vooruitbetalingen
DEF;taxes and social security charges;taxes and social security charges;belastingen en premies
DEF;pension expenses payable;pension expenses payable;te betalen pensioenlasten
DEF;interest and repayments payable;interest and repayments payable;te betalen rente en aflossingen
DEF;transitional liabilities;transitional liabilities;overlopende passiva
DEF;capital shortfall;capital shortfall;vermogensbehoefte
